Itertions,Alpha,Beta,Customers, q0,Best Solution
10,0.1,1,10,0.1,491
10,0.1,1,10,0.2,492
10,0.1,1,10,0.5,492
10,0.1,1,10,0.8,490
10,0.1,1,10,0.9,490
20,0.1,1,10,0.1,489
20,0.1,1,10,0.2,491
20,0.1,1,10,0.5,492
20,0.1,1,10,0.8,490
20,0.1,1,10,0.9,490
50,0.1,1,10,0.1,487
50,0.1,1,10,0.2,489
50,0.1,1,10,0.5,490
50,0.1,1,10,0.8,490
50,0.1,1,10,0.9,490
100,0.1,1,10,0.1,488
100,0.1,1,10,0.2,489
100,0.1,1,10,0.5,491
100,0.1,1,10,0.8,490
100,0.1,1,10,0.9,490
10,0.1,0.5,10,0.1,493
10,0.1,0.5,10,0.2,492
10,0.1,0.5,10,0.5,492
10,0.1,0.5,10,0.8,490
10,0.1,0.5,10,0.9,490
20,0.1,0.5,10,0.1,490
20,0.1,0.5,10,0.2,489
20,0.1,0.5,10,0.5,492
20,0.1,0.5,10,0.8,490
20,0.1,0.5,10,0.9,490
50,0.1,0.5,10,0.1,491
50,0.1,0.5,10,0.2,490
50,0.1,0.5,10,0.5,490
50,0.1,0.5,10,0.8,490
50,0.1,0.5,10,0.9,490
100,0.1,0.5,10,0.1,486
100,0.1,0.5,10,0.2,490
100,0.1,0.5,10,0.5,491
100,0.1,0.5,10,0.8,490
100,0.1,0.5,10,0.9,490
10,0.1,0.1,10,0.1,490
10,0.1,0.1,10,0.2,491
10,0.1,0.1,10,0.5,493
10,0.1,0.1,10,0.8,490
10,0.1,0.1,10,0.9,490
20,0.1,0.1,10,0.1,494
20,0.1,0.1,10,0.2,489
20,0.1,0.1,10,0.5,492
20,0.1,0.1,10,0.8,490
20,0.1,0.1,10,0.9,490
50,0.1,0.1,10,0.1,491
50,0.1,0.1,10,0.2,491
50,0.1,0.1,10,0.5,492
50,0.1,0.1,10,0.8,490
50,0.1,0.1,10,0.9,490
100,0.1,0.1,10,0.1,491
100,0.1,0.1,10,0.2,487
100,0.1,0.1,10,0.5,492
100,0.1,0.1,10,0.8,490
100,0.1,0.1,10,0.9,490
10,0.5,1,10,0.1,489
10,0.5,1,10,0.2,491
10,0.5,1,10,0.5,492
10,0.5,1,10,0.8,490
10,0.5,1,10,0.9,490
20,0.5,1,10,0.1,489
20,0.5,1,10,0.2,492
20,0.5,1,10,0.5,492
20,0.5,1,10,0.8,490
20,0.5,1,10,0.9,490
50,0.5,1,10,0.1,489
50,0.5,1,10,0.2,491
50,0.5,1,10,0.5,490
50,0.5,1,10,0.8,490
50,0.5,1,10,0.9,490
100,0.5,1,10,0.1,488
100,0.5,1,10,0.2,489
100,0.5,1,10,0.5,491
100,0.5,1,10,0.8,490
100,0.5,1,10,0.9,490
10,0.5,0.5,10,0.1,492
10,0.5,0.5,10,0.2,493
10,0.5,0.5,10,0.5,492
10,0.5,0.5,10,0.8,490
10,0.5,0.5,10,0.9,490
20,0.5,0.5,10,0.1,490
20,0.5,0.5,10,0.2,490
20,0.5,0.5,10,0.5,492
20,0.5,0.5,10,0.8,490
20,0.5,0.5,10,0.9,490
50,0.5,0.5,10,0.1,491
50,0.5,0.5,10,0.2,490
50,0.5,0.5,10,0.5,491
50,0.5,0.5,10,0.8,490
50,0.5,0.5,10,0.9,490
100,0.5,0.5,10,0.1,488
100,0.5,0.5,10,0.2,490
100,0.5,0.5,10,0.5,491
100,0.5,0.5,10,0.8,490
100,0.5,0.5,10,0.9,490
10,0.5,0.1,10,0.1,490
10,0.5,0.1,10,0.2,492
10,0.5,0.1,10,0.5,493
10,0.5,0.1,10,0.8,490
10,0.5,0.1,10,0.9,490
20,0.5,0.1,10,0.1,490
20,0.5,0.1,10,0.2,491
20,0.5,0.1,10,0.5,492
20,0.5,0.1,10,0.8,490
20,0.5,0.1,10,0.9,490
50,0.5,0.1,10,0.1,489
50,0.5,0.1,10,0.2,489
50,0.5,0.1,10,0.5,490
50,0.5,0.1,10,0.8,490
50,0.5,0.1,10,0.9,490
100,0.5,0.1,10,0.1,489
100,0.5,0.1,10,0.2,489
100,0.5,0.1,10,0.5,490
100,0.5,0.1,10,0.8,490
100,0.5,0.1,10,0.9,490
10,1.0,1,10,0.1,493
10,1.0,1,10,0.2,490
10,1.0,1,10,0.5,492
10,1.0,1,10,0.8,490
10,1.0,1,10,0.9,490
20,1.0,1,10,0.1,491
20,1.0,1,10,0.2,490
20,1.0,1,10,0.5,492
20,1.0,1,10,0.8,490
20,1.0,1,10,0.9,490
50,1.0,1,10,0.1,489
50,1.0,1,10,0.2,489
50,1.0,1,10,0.5,492
50,1.0,1,10,0.8,490
50,1.0,1,10,0.9,490
100,1.0,1,10,0.1,489
